,Salario,Nota_Performance,Engajamento,Tempo_Rampa_Dias,Faltas_Ano,Horas_Extras,Meses_ate_Promocao,Idade,Custo_Saude_Anual,Gasto_Treinamento
0,6993.428306022465,7.536681040522425,3,32.12408371560268,3,33.89755243390228,68,56,6559.873773324468,1667.9380242924065
1,5723.47139765763,7.841176789552351,3,17.842181947992866,2,3.601862618407132,9,22,4224.057457638182,2466.481485495294
2,7295.377076201385,8.624576864762915,2,33.44290642961585,2,6.7382041970230855,63,36,5384.21559032633,3171.024209204537
3,9046.059712816052,8.580703078052355,5,17.70170312726306,3,24.737357197387112,30,47,3992.8143337954375,828.8670291215674
4,5531.693250553328,4.933495948064364,4,45.94802359092733,6,22.13687845178554,52,58,3732.479187263207,3300.5446907776072
5,5531.726086101638,5.593262440127316,5,19.203125681731024,0,2.4710341522867436,43,42,2031.3842713557842,4915.300265430325
6,9158.425631014783,7.77255290081299,5,2.658343361107703,4,19.472910926985527,20,52,3313.9911897451307,1355.4844240267744
7,7534.869458305818,7.770678926368313,4,10.118827073633383,4,7.354009757789459,68,46,1978.0748154928049,4066.678023297725
8,5061.051228130096,7.772571529459071,4,25.358369251579067,3,7.915826370645511,26,44,2945.359237912516,4585.544572008287
9,7085.120087171929,10.0,5,73.54379893140494,4,1.7192406827748319,62,45,1312.7332334925916,4746.657167690993
10,5073.164614375076,7.85633576603975,4,44.746467776572544,4,1.0084277048798804,58,59,1317.8024247861667,4820.610219824513
11,5068.540492859486,8.703348460270899,3,1.9750452290779585,4,15.620761217417268,51,49,2709.38284380798,2846.5683742466235
12,6483.924543132068,8.431002645239804,3,5.90733573160686,1,8.233132975162201,19,42,2266.0197652679226,4897.885585961767
13,2173.439510684404,7.977086876958697,2,54.33344259948695,5,6.890526049693575,22,39,3144.447873280529,3907.8959321049747
14,2550.1643349739343,6.527096133039482,5,39.36486741237094,6,15.690163215780455,44,57,2786.706496866603,1227.5214630663286
15,4875.424941518055,8.138453830739902,4,99.79024200887133,0,17.404256387608623,14,56,3026.298073430771,2646.0504791058647
16,3974.3377593311525,5.840762178193643,3,17.117864209272728,4,2.0766531691247936,11,30,4041.2273372941736,3732.490289174018
17,6628.4946651905475,6.644772089889987,4,11.88987962737676,2,11.306232155002164,28,59,2364.6032365261694,1613.031421185875
18,4183.9518489575785,6.2719546782563445,4,26.411640590910952,2,1.7452223943344967,64,51,2671.1866588534635,3382.768325969993
19,3175.392597329417,7.122811209079484,3,16.844088666374766,3,16.701718653928193,51,55,6170.348580801212,3499.7021557097864
20,8931.297537843107,10.0,2,50.95495774433305,1,12.838729207391328,43,53,2985.5583594091154,1232.1488471385464
21,5548.447399026929,4.199102211112378,4,16.36706913196844,1,37.65159343152389,19,24,2725.466166351687,3042.8839060374034
22,6135.056409375848,8.029390285561771,4,20.129598303995195,5,0.8574108901023874,67,24,3106.513606990149,3972.3210994037345
23,3150.5036275730863,4.5809261932155225,4,10.432720552266328,0,0.7049643218980496,40,49,2749.8944648202832,2745.030490411739
24,4911.2345509496345,6.29210220131585,4,42.71084891166429,2,3.9785555231383682,24,36,2090.615613547152,554.4640254924834
25,6221.845179419732,8.63342589545105,5,11.05682413098802,3,3.640952776276598,35,44,1809.8243609643803,540.6731108568148
26,3698.012845155394,7.096420028643194,4,33.89118513882315,2,3.403942755548727,30,32,2035.067628342003,2106.632047865055
27,6751.396036691344,5.38338283310604,4,81.80062334353488,2,28.406069690595714,45,53,4612.196991934528,4667.8733079430185
28,4798.72262016239,5.927044436110048,5,3.9527271844296257,1,3.4449262627632797,19,57,2175.5730338052513,1529.0455082162396
29,5416.6125004134465,8.019396623402013,3,66.60242522022178,1,3.8086221078503373,31,54,2758.76308067425,3354.6365999225923
30,4796.586775541206,5.904450052424295,2,30.822924756217297,3,17.095347043165933,27,45,4231.73833941727,1499.3414181199425
31,9704.556369017875,7.324687884372962,1,8.92510881782059,1,7.168369186380684,53,55,2593.605870913578,1947.5149534679688
32,5973.005550524133,7.06835775985572,4,27.17882056295519,2,17.991436779101516,56,49,4091.5561662651485,4316.1894032066775
33,3884.5781420881995,6.022599478591275,4,41.852606879548276,0,0.8112052651431019,8,58,1379.6753250733768,3779.876490214761
34,7645.089824206378,10.0,4,12.604224608889824,1,8.02312190524484,47,28,2789.845955556845,929.2967479094478
35,3558.3127000579557,7.950878533477017,3,35.28645589838463,7,0.41029829925539796,24,25,3100.9011702203966,2429.1590944389513
